Word		Original_feature		Predicted_feature
oraCA		sg		sg
ka		sg		UNK
vEBava		sg		sg
paWaro		pl		sg
meM		UNK		UNK
jaise		UNK		sg
kExa		sg		any
ho		sg		sg
gaila		sg		sg
ha		sg		sg
,		UNK		UNK
samaya		sg		sg
yahAz		UNK		UNK
TaharA		sg		sg
ha		sg		sg
lagawa		sg		UNK
ha		sg		any
aura		UNK		any
hama		pl		pl
calala		pl		sg
jAwa		pl		sg
hai		pl		UNK
barasoM		pl		pl
barasa		sg		sg
pACe		sg		sg
,		UNK		UNK
maXyakAle		sg		sg
ka		sg		UNK
eka		any		any
sahara		sg		sg
ma		UNK		sg
.		UNK		UNK
jahAz		UNK		UNK
ka		pl		UNK
maMxirana		pl		sg
aura		UNK		sg
mahalana		pl		sg
ke		sg		sg
camaka		sg		sg
ke		UNK		sg
samaya		sg		sg
ka		sg		UNK
XuMXa		sg		sg
BI		UNK		UNK
XuzXalA		sg		sg
nA		UNK		UNK
sakawa		sg		sg
ha		sg		any
.		UNK		UNK
16		sg		sg
se		UNK		UNK
17vIM		sg		sg
sawAbxI		sg		sg
meM		UNK		UNK
buMxelA		sg		sg
sAsakoM		pl		pl
xvArA		UNK		UNK
banavAila		pl		sg
gaIla		pl		sg
i		pl		UNK
imArawana		pl		sg
prAcIna		any		any
vEBava		sg		sg
ka		UNK		UNK
bayAz		sg		sg
karawa		pl		sg
ha		pl		sg
.		UNK		UNK
oraCA		sg		sg
,		UNK		UNK
16vIM		sg		sg
sawAbxI		sg		sg
meM		UNK		UNK
buMxelA		sg		sg
rAjapUwa		sg		sg
ruxra		sg		sg
prawApa		sg		sg
ka		UNK		UNK
xvArA		UNK		UNK
basAila		sg		sg
gaila		sg		sg
rahala		sg		sg
.		UNK		UNK
unake		sg		sg
Age		sg		sg
ka		pl		UNK
rAjana		pl		sg
sAnaxAra		any		sg
imArawana		pl		sg
aura		UNK		sg
Bavana		pl		sg
banavAike		any		sg
ekara		sg		any
sAna		sg		sg
meM		UNK		UNK
cAra		any		any
cAzxa		pl		sg
lagavA		pl		sg
xihalana		pl		sg
.		UNK		UNK
jinameM		pl		sg
rAjA		sg		sg
bIra		sg		sg
siMha		sg		sg
jUxeva		sg		sg
ka		sg		UNK
nAma		sg		sg
pramuKa		any		sg
ha		sg		sg
.		UNK		UNK
maMxirana		pl		sg
aura		UNK		sg
mahalana		pl		sg
meM		UNK		UNK
buMxelA		sg		sg
kalA		sg		sg
ka		sg		UNK
KUbasUrawa		any		any
kalAkArI		sg		sg
xeKawa		any		sg
hI		UNK		UNK
banelA		sg		sg
.		UNK		UNK
lakRmInArAyaNa		sg		sg
maMxira		sg		sg
aura		UNK		sg
rAjamahala		sg		sg
ka		pl		UNK
xIvArana		pl		sg
aura		UNK		sg
Cawana		pl		sg
ka		sg		UNK
kalAwmakawA		sg		sg
ihAz		UNK		pl
ka		sg		UNK
samqxXi		sg		sg
ka		sg		UNK
kahAnI		sg		any
kahawa		pl		UNK
ha		pl		sg
.		UNK		UNK
I		sg		sg
mahala		sg		sg
rAjA		sg		sg
bIra		sg		sg
siMha		sg		sg
jUxeva		sg		sg
ne		UNK		UNK
17vIM		sg		sg
SawAbxI		sg		sg
meM		UNK		UNK
jahAzgIra		sg		sg
ka		UNK		UNK
oraCA		sg		sg
Ave		sg		sg
ka		UNK		UNK
pahile		sg		sg
banavaile		sg		pl
rahalana		sg		sg
.		UNK		UNK
ekara		sg		sg
majabUwa		any		any
xIvArana		pl		sg
ka		UNK		UNK
sAWa		sg		sg
nAjukI		sg		sg
se		UNK		UNK
banala		pl		sg
Cawariyana		pl		sg
kamAla		sg		sg
ka		sg		UNK
saMwulana		sg		sg
banAvawa		pl		sg
ha		pl		any
aura		UNK		any
isase		sg		sg
pUrI		sg		sg
imArawa		sg		sg
awyaMwa		UNK		sg
samqxXipUrNa		any		any
praBAva		sg		sg
xeve		sg		sg
le		sg		sg
.		UNK		UNK
cawurBuja		sg		sg
ka		sg		UNK
AkAra		sg		sg
ka		sg		UNK
i		sg		UNK
mahala		sg		sg
17vIM		sg		sg
SawAbxI		sg		sg
meM		UNK		UNK
maXukara		sg		any
SAha		sg		sg
banavaile		sg		pl
rahalana		sg		sg
.		UNK		UNK
nIxaralEMda		sg		sg
,		UNK		UNK
jeke		sg		pl
hOYlEMda		sg		sg
BI		UNK		UNK
kahala		sg		sg
jAlA		sg		sg
,		UNK		UNK
mOja		sg		sg
-		UNK		UNK
maswI		sg		sg
Aura		UNK		sg
suMxara		any		sg
najArA		pl		UNK
vAlA		sg		sg
xeSa		sg		sg
ha		sg		any
.		UNK		UNK
ihAM		UNK		sg
ke		sg		sg
sabase		UNK		UNK
